
Quadro extraído em 14 de Março de 2023 (15:42:23)
http://www.ine.pt



Período de referência dos dados;Local de residência;Distribuição da população residente com 15 e mais anos de idade (%) por Local de residência, Sexo, Grupo etário e Existência provável de sofrimento psicológico -  Não periódica (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;Existência provável de sofrimento psicológico (1) ;;;
;;Total;;;
;;% ;% ;% ;
2005 / 2006;PT: Portugal;100;100;100;
;1: Continente;100;100;100;
;2: Região Autónoma dos Açores;100;100;100;
;3: Região Autónoma da Madeira;100;100;100;

Distribuição da população residente com 15 e mais anos de idade (%) por Local de residência, Sexo, Grupo etário e Existência provável de sofrimento psicológico -  Não periódica - INE, Inquérito nacional de saúde - 2005

Nota(s):
(1) No âmbito do 4.º Inquérito Nacional de Saúde, consideraram-se "com provável sofrimento psicológico" os indivíduos cujo índice de saúde mental MHI-5 era menor ou igual a 52.

(2) Percentagens com base nas Estimativas de população média para 2005.



Última atualização destes dados: 31 de dezembro de 2008


Metainformação associada ao quadro

Distribuição da população residente com 15 e mais anos de idade (%)
Designação;Distribuição da população residente com 15 e mais anos de idade (%) por Local de residência, Sexo, Grupo etário e Existência provável de sofrimento psicológico -  Não periódica
Periodicidade;Não periódica
Fonte;INE, Inquérito nacional de saúde - 2005
Primeiro período disponível;2005 / 2006
Último período disponível;2005 / 2006
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Existência provável de sofrimento psicológico
Conceitos
     POPULAÇÃO RESIDENTE;Pessoas que, independentemente de no momento de observação - zero horas do dia de referência - estarem presentes ou ausentes numa determinada unidade de alojamento, aí habitam a maior parte do ano com a família ou detêm a totalidade ou a maior parte dos seus haveres.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
Definição;
Fórmula;
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;31-Dec-2008
